Out-degree,Clustering coefficient
21,0.014285714285714285
0,0.003160405485986881
0,0.0
0,0.0
0,0.0
0,0.011347517730496455
0,0.0
0,0.0
0,0.00641025641025641
5,0.02766531713900135
0,0.004273504273504274
0,0.007226738934056007
10,0.019994484280198566
0,0.007753164556962025
4,0.00493138936535163
0,0.0
0,0.0
0,0.004593797479667531
0,0.026143790849673203
1,0.08928571428571429
0,0.0
2,0.010080645161290322
18,0.0032679738562091504
0,0.0
0,0.0
0,0.00089126559714795
0,0.0
0,0.0022113022113022115
0,0.0
0,0.0
0,0.0009615384615384616
0,0.017857142857142856
0,0.0018501387604070306
0,0.011904761904761904
0,0.0
0,0.0034932892075749218
0,0.002277227722772277
0,0.0
0,0.0
0,0.002728174603174603
6,0.023809523809523808
13,0.0
0,0.0
0,0.0
0,0.005494505494505495
0,0.0
0,0.003676470588235294
0,0.0
0,0.0
0,0.0006097560975609756
0,0.0
0,0.0
0,0.0
34,0.03297682709447415
0,0.004301075268817204
14,0.008142266499890714
0,0.011222091656874265
1,0.005329378012267139
86,0.03387539184952978
0,0.007007969507969508
0,0.008389261744966443
5,0.004678727386150967
58,0.014064684081611717
0,0.006448412698412698
16,0.009145449224465906
0,0.002689948088721095
0,0.016881522406384283
96,0.04242850445382091
0,0.003706250565608697
3,0.009686411149825784
9,0.01311998186998187
3,0.004920180106426524
17,0.011022714170413929
0,0.003841158178751272
19,0.012265670767428237
0,0.01746031746031746
0,0.005882021839468648
0,0.0037208162693828976
0,0.008333333333333333
9,0.00685577367121784
56,0.03448773448773449
11,0.00885802038252129
0,0.006016597510373444
0,0.021753246753246754
0,0.004996781062744516
3,0.003093065905239455
0,0.016875955086040794
9,0.011348154802006138
40,0.016666666666666666
0,0.0
82,0.006024096385542169
0,0.0
0,0.0
0,0.06666666666666667
62,0.03970484891075193
0,0.019704433497536946
0,0.054945054945054944
0,0.004761904761904762
0,0.0
0,0.006613756613756613
0,0.0
0,0.016483516483516484
0,0.0
0,0.07142857142857142
0,0.16666666666666666
0,0.0
0,0.0
0,0.017857142857142856
0,0.0
0,0.003952569169960474
0,0.08333333333333333
140,0.004796232777164119
0,0.04583333333333333
0,0.05454545454545454
0,0.0
0,0.00909090909090909
0,0.0
0,0.0
0,0.0380952380952381
0,0.022222222222222223
0,0.021164021164021163
0,0.015503875968992248
0,0.0
0,0.03296703296703297
0,0.023809523809523808
37,0.03137651821862348
0,0.0
0,0.0
8,0.0
0,0.0029239766081871343
0,0.017857142857142856
0,0.0020664869721473494
11,0.006419153365718251
0,0.0024630541871921183
0,0.0036144892739704577
0,0.01566951566951567
15,0.005548077684398647
10,0.09090909090909091
9,0.007631578947368421
0,0.005601507042429232
0,0.004864864864864865
0,0.00260694395070506
0,0.027065527065527065
0,0.0017421602787456446
0,0.045454545454545456
15,0.01904761904761905
0,0.007292741658066736
0,0.011985526910900044
0,0.00909090909090909
10,0.10217391304347827
1,0.017031214399635453
20,0.10702341137123746
45,0.016907896030035185
90,0.017355608544755305
0,0.005289450484866294
0,0.008195592286501378
29,0.013737907766830175
0,0.0045755451713395635
93,0.044997662459093035
0,0.016617063492063492
157,0.03359605126980336
59,0.020624008461131677
20,0.008243211204931338
50,0.030898073004182902
33,0.05398110661268556
0,0.007810894141829393
17,0.02326343381389253
2,0.005987446122175148
8,0.055130784708249496
0,0.015895278167367927
0,0.047619047619047616
156,0.03732683427398666
0,0.03418803418803419
0,0.0
0,0.006523157208088715
0,0.007604340567612688
0,0.022727272727272728
0,0.0037375460255577213
1,0.0
0,0.0055000962516844045
0,0.007794048181388758
0,0.006019766397124888
0,0.006079830822098863
32,0.016919668198714544
0,0.00705392168806803
0,0.006826506826506827
0,0.0058176672833835106
1,0.005205759283054924
63,0.04344624447717231
120,0.02897787144362487
8,0.005762871988663203
0,0.010581010864430798
140,0.031028551771585828
32,0.0176841441630766
47,0.06265
69,0.04587234626333299
10,0.011956877069801157
0,0.014285714285714285
91,0.03168457648546144
0,0.0076711623876069765
17,0.02211316669020383
66,0.027952610144390967
4,0.07142857142857142
1,0.044444444444444446
116,0.02214894081677222
40,0.02902943109618053
29,0.009074925492476557
0,0.006480970766685052
2,0.0056268754076973255
23,0.01800275848718755
0,0.00901999024865919
0,0.0
23,0.01574263057516646
0,0.02345427221983684
2,0.009805073431241656
30,0.015641799490710175
108,0.014280683545242243
4,0.009567901234567902
59,0.04306710721203145
31,0.019176972909305066
0,0.00702051571616789
17,0.009321527225943165
0,0.01186378354085166
0,0.007663019441186085
0,0.01750905640848715
5,0.014950166112956811
30,0.009544914496255457
0,0.011985526910900044
136,0.0464212135309364
0,0.00392156862745098
92,0.01947939824307699
1,0.001694915254237288
0,0.00684931506849315
0,0.02526395173453997
0,0.01027022980762033
36,0.007714923802823265
0,0.009301297983982324
0,0.00366668406493032
10,0.01277864276762997
0,0.026234567901234566
21,0.02120225145459145
92,0.05116653258246179
0,0.0
7,0.0
0,0.006004140786749482
0,0.016516516516516516
1,0.0088447931087525
0,0.012422360248447204
0,0.003826530612244898
5,0.0
0,0.002188666440447913
5,0.01211484593837535
0,0.009929494712103408
1,0.004402254369789367
0,0.006708304418228082
3,0.0
0,0.005719514985129261
0,0.0
29,0.008620689655172414
0,0.0022546419098143236
0,0.0
23,0.030952380952380953
4,0.003007317537256875
50,0.048710796652833524
15,0.0029189669395266195
5,0.03594771241830065
0,0.007006151742993848
0,0.0
3,0.014646464646464647
0,0.010101010101010102
0,0.010084033613445379
0,0.007462686567164179
0,0.0018115942028985507
0,0.014799154334038054
0,0.0
0,0.00492539475590323
0,0.0
65,0.03275747508305648
0,0.0
0,0.0
0,0.005199760586562921
4,0.017857142857142856
0,0.0
13,0.01160541586073501
11,0.012653061224489797
0,0.0
38,0.020019651191353474
0,0.0012530455969369996
6,0.0
17,0.03321123321123321
0,0.000546448087431694
12,0.005111622753596995
4,0.004629223343571742
0,0.001397624039133473
1,0.0
0,0.0
10,0.022222222222222223
53,0.05358307706644302
44,0.01159491402483253
0,0.0026747195858498707
130,0.04522792022792023
1,0.010378975433250809
0,0.0
22,0.021367171510437988
1,0.0
45,0.05241090146750524
0,0.00625638406537283
0,0.0
0,0.005162144855837127
6,0.007229597936198326
0,0.007745019920318725
0,0.005032723990069962
23,0.06948051948051948
3,0.008906696140738694
0,0.008925673482635508
30,0.0443609022556391
64,0.011816222581733161
1,0.005224132119986518
0,0.007592762253779203
0,0.01048951048951049
0,0.016666666666666666
99,0.02138810198300283
0,0.0015015015015015015
13,0.007017437513891414
0,0.030107526881720432
4,0.030864197530864196
0,0.008910960834037756
40,0.04149620105201637
18,0.06613756613756613
0,0.009309162175404213
1,0.011421888219778032
6,0.045625427204374576
5,0.004596152406617262
0,0.00873015873015873
9,0.01602287218725575
0,0.007823613086770981
0,0.047619047619047616
66,0.01257995735607676
39,0.04422128259337561
0,0.013271604938271606
0,0.012315270935960592
0,0.014942528735632184
20,0.1051693404634581
0,0.026306306306306305
0,0.0
0,0.011990830541350733
0,0.0033766233766233766
3,0.05
0,0.015043130654323585
0,0.0035217035217035217
0,0.0
22,0.025174825174825177
52,0.04895593965431112
0,0.009291521486643438
0,0.1
0,0.031567489114658925
0,0.004267425320056899
0,0.0011270931730356377
3,0.07857142857142857
0,0.0
7,0.054838709677419356
0,0.027472527472527472
0,0.04120397428404442
0,0.04047619047619048
0,0.0
0,0.019230769230769232
0,0.0
0,0.0016018306636155606
0,0.007703081232492998
1,0.002189225204644965
0,0.0
4,0.09475806451612903
0,0.017094017094017096
0,0.01555023923444976
0,0.026143790849673203
0,0.005707000182138304
0,0.004613681102362204
0,0.0
0,0.007186290768380321
0,0.0
0,0.021445221445221447
27,0.00510490070467649
0,0.020512820512820513
0,0.0017730496453900709
0,0.017857142857142856
65,0.0271353482260184
0,0.02727272727272727
0,0.0
0,0.0373015873015873
0,0.0
2,0.004036186499652053
0,0.02418207681365576
0,0.008207171314741036
0,0.1
0,0.0
0,0.03137254901960784
0,0.0032679738562091504
13,0.009487666034155597
16,0.0125
0,0.006950013365410318
0,0.0
0,0.0
0,0.007427307206068268
0,0.0011689070718877848
201,0.03263864186422827
0,0.0028735632183908046
11,0.011837905539170135
125,0.022411704407790514
142,0.034746831641540035
11,0.011267456622936945
0,0.05263157894736842
0,0.008395802098950524
45,0.06358885017421603
2,0.0
149,0.048515981735159815
44,0.035681441971675554
1,0.0
1,0.004050527194905522
32,0.046370967741935484
101,0.047032906512460414
134,0.03181316660536962
0,0.007474429583005508
3,0.007873200041437895
0,0.00492831541218638
0,0.018018018018018018
0,0.004577661014250458
0,0.0
0,0.007387387387387387
32,0.06562137049941928
0,0.01282051282051282
0,0.004638272623337531
0,0.00641025641025641
0,0.010769230769230769
0,0.006153846153846154
103,0.050821934998117706
0,0.0
0,0.005965248243614747
0,0.029411764705882353
20,0.010526315789473684
0,0.007789678675754625
17,0.013179026924893717
0,0.004734848484848485
1,0.00279876854184159
8,0.01269169751454257
8,0.005853658536585366
0,0.004729214340198322
0,0.0011074197120708748
0,0.0
0,0.0125
0,0.023809523809523808
0,0.015291750503018108
0,0.003389830508474576
0,0.011886102403343783
0,0.01935483870967742
0,0.005446148483792262
4,0.0
147,0.02623241077252819
0,0.0
19,0.03534704370179949
0,0.05
100,0.03980487804878049
68,0.06471726510427865
0,0.04487179487179487
0,0.005881654697608167
7,0.022222222222222223
0,0.0
0,0.01904761904761905
35,0.04492753623188406
25,0.11756789821384879
48,0.06153184165232358
0,0.010227473108799153
0,0.006738544474393531
38,0.02766531713900135
0,0.004207573632538569
48,0.0687208398133748
51,0.08079847908745247
17,0.2011568123393316
99,0.044817225838758135
141,0.049703133266709776
310,0.008509636062014868
0,0.006228691319171256
0,0.1
0,0.0
0,0.006277069863787584
0,0.11363636363636363
0,0.03636363636363636
0,0.0392156862745098
0,0.018769787426503846
0,0.0
0,0.011558307533539732
0,0.018637765282060584
35,0.03896638275110069
0,0.010973084886128364
0,0.06060606060606061
0,0.0
0,0.12213225371120108
0,0.0
41,0.04727272727272727
5,0.004783786564246768
0,0.011111111111111112
0,0.047619047619047616
2,0.06344086021505377
0,0.14285714285714285
0,0.006983240223463687
0,0.05238095238095238
0,0.0
0,0.0
0,0.12727272727272726
39,0.03316214233308878
1,0.007392339090316833
26,0.035650623885918005
0,0.004232846891880996
0,0.006591705825315134
61,0.049784615384615385
31,0.12638436482084692
8,0.06521739130434782
9,0.009820177820978302
0,0.029411764705882353
0,0.041666666666666664
0,0.125
9,0.043184885290148446
1,0.05357142857142857
0,0.0
0,0.09644808743169399
0,0.024618149146451034
0,0.004024144869215292
0,0.14935064935064934
86,0.03914767096134787
20,0.021174184217662477
0,0.01134278565471226
0,0.017639077340569877
0,0.0
0,0.0
40,0.07463414634146341
85,0.0483935475269964
67,0.029006154547526784
0,0.010698073855968594
0,0.018247804679965483
46,0.06717501815541031
0,0.06666666666666667
0,0.044444444444444446
0,0.023809523809523808
33,0.04031442493334559
5,0.007728483004253259
18,0.027659574468085105
