Nodes,Clustering coefficient
100000213,0.014285714285714285
1050774624,0.003160405485986881
1239676915386068993,0.0
1253858770448535559,0.0
1482032940456587266,0.0
151029385,0.011347517730496455
17028890,0.0
246278553,0.0
3080114013,0.00641025641025641
393307261,0.02766531713900135
405066123,0.004273504273504274
429391019,0.007226738934056007
44148094,0.019994484280198566
454423746,0.007753164556962025
484771907,0.00493138936535163
50253688,0.0
57573467,0.0
61567461,0.004593797479667531
77934969,0.026143790849673203
86936133,0.08928571428571429
888010766846238721,0.0
938729294578233344,0.010080645161290322
1000007406892601344,0.0032679738562091504
1005086115349614593,0.0
1250918156291497984,0.0
1298633028143648780,0.00089126559714795
1327294328436305922,0.0
136999078,0.0022113022113022115
1392110633286520838,0.0
1628613343,0.0
2203647138,0.0009615384615384616
2376204017,0.017857142857142856
263628865,0.0018501387604070306
269018901,0.011904761904761904
3013216870,0.0
449929150,0.0034932892075749218
4705532839,0.002277227722772277
541812019,0.0
804265180054126592,0.0
878991600231251970,0.002728174603174603
966623853270257664,0.023809523809523808
1000018877009596416,0.0
1006632492214947840,0.0
1074808394,0.0
1288097058222735360,0.005494505494505495
1371099761235922945,0.0
1396910234195611654,0.003676470588235294
187102080,0.0
339151921,0.0
622123429,0.0006097560975609756
743427618498805760,0.0
796354948023939072,0.0
804947672,0.0
1000061496,0.03297682709447415
1029467541624770561,0.004301075268817204
104170025,0.008142266499890714
1050141832758341632,0.011222091656874265
1219298065951133696,0.005329378012267139
1289995760507985920,0.03387539184952978
1345033794529714178,0.007007969507969508
1348392453250953217,0.008389261744966443
1392726045082767360,0.004678727386150967
1410302595902717952,0.014064684081611717
1438064323302199299,0.006448412698412698
14575613,0.009145449224465906
16145985,0.002689948088721095
1623468770,0.016881522406384283
2235916268,0.04242850445382091
2377487094,0.003706250565608697
26319569,0.009686411149825784
3121591703,0.01311998186998187
368922164,0.004920180106426524
3841429516,0.011022714170413929
419441999,0.003841158178751272
420931672,0.012265670767428237
443910842,0.01746031746031746
475862409,0.005882021839468648
501750077,0.0037208162693828976
532572724,0.008333333333333333
725949864,0.00685577367121784
862970692958138368,0.03448773448773449
881014213,0.00885802038252129
8873182,0.006016597510373444
900429062,0.021753246753246754
900766265245130753,0.004996781062744516
951246650,0.003093065905239455
954347947,0.016875955086040794
986811270,0.011348154802006138
1000073568229740544,0.016666666666666666
1016337754769313792,0.0
1029709713670324224,0.006024096385542169
1035617076445097985,0.0
1207312722116919296,0.0
1222238431306227713,0.06666666666666667
1231577023,0.03970484891075193
1246375903099314176,0.019704433497536946
1259405905659146240,0.054945054945054944
1263223454549127169,0.004761904761904762
1276489491813974018,0.0
1289487404,0.006613756613756613
1320992635432087552,0.0
1353843853862834177,0.016483516483516484
1357618371186024452,0.0
1362338880616337411,0.07142857142857142
1568057516,0.16666666666666666
1590826574,0.0
1710513018,0.0
1938680342,0.017857142857142856
2174184543,0.0
2252090852,0.003952569169960474
2269463839,0.08333333333333333
2331802006,0.004796232777164119
2343067570,0.04583333333333333
2986274967,0.05454545454545454
3229294486,0.0
405409223,0.00909090909090909
4201885403,0.0
428376870,0.0
550555137,0.0380952380952381
573603184,0.022222222222222223
61292316,0.021164021164021163
785469028106178561,0.015503875968992248
804190579,0.0
810476391674290177,0.03296703296703297
884023737745645572,0.023809523809523808
919559116598775808,0.03137651821862348
945366054490050560,0.0
989787521361080320,0.0
1000081387460988928,0.0
1399340094,0.0029239766081871343
1404416938793701380,0.017857142857142856
200862575,0.0020664869721473494
24150879,0.006419153365718251
381457143,0.0024630541871921183
40436485,0.0036144892739704577
415624891,0.01566951566951567
429255979,0.005548077684398647
1000117978220908544,0.09090909090909091
1248341835770200064,0.007631578947368421
1364939599601168385,0.005601507042429232
1438111542977908740,0.004864864864864865
1492261831854985227,0.00260694395070506
171854699,0.027065527065527065
2825668251,0.0017421602787456446
421941338,0.045454545454545456
1000119041460236288,0.01904761904761905
1011271767292350465,0.007292741658066736
1127307619390111745,0.011985526910900044
1132158917113405442,0.00909090909090909
1177798368,0.10217391304347827
1930509157,0.017031214399635453
427728350,0.10702341137123746
438849246,0.016907896030035185
461937617,0.017355608544755305
629334187,0.005289450484866294
791240691816988672,0.008195592286501378
792731002900709376,0.013737907766830175
923271197986578432,0.0045755451713395635
1000138698032320512,0.044997662459093035
1022231645024387083,0.016617063492063492
1053632622465818624,0.03359605126980336
