In-degree,Clustering coefficient
0,0.014285714285714285
130,0.003160405485986881
2,0.0
15,0.0
1,0.0
141,0.011347517730496455
18,0.0
5,0.0
13,0.00641025641025641
34,0.02766531713900135
27,0.004273504273504274
82,0.007226738934056007
138,0.019994484280198566
80,0.007753164556962025
263,0.00493138936535163
9,0.0
3,0.0
335,0.004593797479667531
18,0.026143790849673203
7,0.08928571428571429
14,0.0
30,0.010080645161290322
0,0.0032679738562091504
20,0.0
15,0.0
34,0.00089126559714795
32,0.0
111,0.0022113022113022115
25,0.0
32,0.0
65,0.0009615384615384616
8,0.017857142857142856
47,0.0018501387604070306
28,0.011904761904761904
6,0.0
148,0.0034932892075749218
101,0.002277227722772277
35,0.0
15,0.0
64,0.002728174603174603
9,0.023809523809523808
0,0.0
26,0.0
2,0.0
14,0.005494505494505495
26,0.0
17,0.003676470588235294
20,0.0
8,0.0
41,0.0006097560975609756
7,0.0
11,0.0
27,0.0
0,0.03297682709447415
31,0.004301075268817204
1030,0.008142266499890714
185,0.011222091656874265
1044,0.005329378012267139
234,0.03387539184952978
481,0.007007969507969508
149,0.008389261744966443
1602,0.004678727386150967
503,0.014064684081611717
225,0.006448412698412698
189,0.009145449224465906
326,0.002689948088721095
181,0.016881522406384283
140,0.04242850445382091
1772,0.003706250565608697
572,0.009686411149825784
343,0.01311998186998187
349,0.004920180106426524
278,0.011022714170413929
1797,0.003841158178751272
554,0.012265670767428237
36,0.01746031746031746
189,0.005882021839468648
535,0.0037208162693828976
25,0.008333333333333333
903,0.00685577367121784
113,0.03448773448773449
368,0.00885802038252129
241,0.006016597510373444
56,0.021753246753246754
636,0.004996781062744516
2075,0.003093065905239455
174,0.016875955086040794
357,0.011348154802006138
0,0.016666666666666666
3,0.0
1,0.006024096385542169
3,0.0
2,0.0
6,0.06666666666666667
14,0.03970484891075193
29,0.019704433497536946
14,0.054945054945054944
21,0.004761904761904762
1,0.0
28,0.006613756613756613
3,0.0
14,0.016483516483516484
4,0.0
14,0.07142857142857142
3,0.16666666666666666
6,0.0
2,0.0
8,0.017857142857142856
2,0.0
23,0.003952569169960474
16,0.08333333333333333
48,0.004796232777164119
16,0.04583333333333333
11,0.05454545454545454
1,0.0
11,0.00909090909090909
2,0.0
11,0.0
15,0.0380952380952381
10,0.022222222222222223
28,0.021164021164021163
43,0.015503875968992248
8,0.0
14,0.03296703296703297
7,0.023809523809523808
8,0.03137651821862348
1,0.0
7,0.0
0,0.0
19,0.0029239766081871343
8,0.017857142857142856
106,0.0020664869721473494
121,0.006419153365718251
29,0.0024630541871921183
392,0.0036144892739704577
27,0.01566951566951567
406,0.005548077684398647
4,0.09090909090909091
749,0.007631578947368421
694,0.005601507042429232
75,0.004864864864864865
291,0.00260694395070506
27,0.027065527065527065
42,0.0017421602787456446
11,0.045454545454545456
0,0.01904761904761905
171,0.007292741658066736
67,0.011985526910900044
11,0.00909090909090909
12,0.10217391304347827
134,0.017031214399635453
